title_english,type,episodes,rank,categorie
Frieren: Beyond Journey's End,TV,28,1.0,Série
Steel Ball Run: JoJo's Bizarre Adventure,ONA,0,2.0,Autre
Fullmetal Alchemist: Brotherhood,TV,64,3.0,Série
Chainsaw Man – The Movie: Reze Arc,Movie,1,4.0,Autre
Steins;Gate,TV,24,5.0,Série
Attack on Titan Season 3 Part 2,TV,10,8.0,Série
Gintama Season 4,TV,51,7.0,Série
Gintama: The Very Final,Movie,1,6.0,Autre
Hunter x Hunter,TV,148,9.0,Série
Gintama Season 2,TV,51,11.0,Série
Gintama: Enchousen,TV,13,12.0,Série
Legend of the Galactic Heroes,OVA,110,10.0,OAV
Inconnu,TV Special,1,13.0,Autre
Gintama Season 5,TV,12,15.0,Série
Bleach: Thousand-Year Blood War,TV,13,14.0,Série
Kaguya-sama: Love is War -Ultra Romantic-,TV,13,16.0,Série
Fruits Basket: The Final Season,TV,13,18.0,Série
Clannad: After Story,TV,24,17.0,Série
Gintama,TV,201,19.0,Série
A Silent Voice,Movie,1,20.0,Autre
Code Geass: Lelouch of the Rebellion R2,TV,25,21.0,Série
The Apothecary Diaries Season 2,TV,24,22.0,Série
Re:ZERO -Starting Life in Another World- Season 4,TV,19,26.0,Série
March Comes In Like a Lion 2nd Season,TV,22,23.0,Série
Gintama: The Movie: The Final Chapter: Be Forever Yorozuya,Movie,1,24.0,Autre
Monster,TV,74,25.0,Série
Frieren: Beyond Journey's End Season 2,TV,10,27.0,Série
Gintama. Silver Soul Arc - Second Half War,TV,14,28.0,Série
Attack on Titan: Final Season - The Final Chapters,TV Special,2,30.0,Autre
Owarimonogatari Second Season,TV Special,7,29.0,Autre
The Apothecary Diaries,TV,24,32.0,Série
Kingdom Season 3,TV,26,31.0,Série
Attack on Titan: The Last Attack,Movie,1,34.0,Autre
Tomorrow's Joe 2,TV,47,33.0,Série
Violet Evergarden: The Movie,Movie,1,35.0,Autre
Vinland Saga Season 2,TV,24,38.0,Série
Your Name.,Movie,1,37.0,Autre
Gintama. Silver Soul Arc,TV,12,36.0,Série
Attack on Titan: Final Season,TV,16,39.0,Série
Mob Psycho 100 II,TV,13,42.0,Série
Kizumonogatari Part 3: Cold-Blooded,Movie,1,41.0,Autre
Inconnu,TV,24,43.0,Série
Fighting Spirit,TV,75,40.0,Série
Haikyu!! 3rd Season,TV,10,44.0,Série
Spirited Away,Movie,1,45.0,Autre
Attack on Titan: Final Season Part 2,TV,12,46.0,Série
Journal with Witch,TV,13,47.0,Série
Monogatari Series: Second Season,TV,26,48.0,Série
Takopi's Original Sin,ONA,6,50.0,Autre
Cowboy Bebop,TV,26,49.0,Série
Witch Hat Atelier,TV,13,52.0,Série
Sound! Euphonium 3,TV,13,51.0,Série
Inconnu,Music,1,,Autre
Bocchi the Rock!,TV,12,52.0,Série
Kingdom Season 4,TV,26,53.0,Série
One Piece,TV,0,55.0,Série
Kingdom Season 5,TV,13,59.0,Série
Orb: On the Movements of the Earth,TV,25,57.0,Série
Kaguya-sama: Love is War -The First Kiss That Never Ends-,Movie,1,58.0,Autre
Mushi-shi: Next Passage Part 2,TV,10,61.0,Série
Inconnu,Movie,1,62.0,Autre
Mob Psycho 100 III,TV,12,60.0,Série
86 Eighty-Six Part 2,TV,12,56.0,Série
My Hero Academia Final Season,TV,11,63.0,Série
[Oshi No Ko] Season 3,TV,11,66.0,Série
Descending Stories: Showa Genroku Rakugo Shinju,TV,12,65.0,Série
Code Geass: Lelouch of the Rebellion,TV,25,64.0,Série
Bleach: Thousand-Year Blood War - The Separation,TV,13,67.0,Série
Jujutsu Kaisen Season 2,TV,23,68.0,Série
Samurai X: Trust and Betrayal,OVA,4,69.0,OAV
Umamusume: Cinderella Gray Part 2,TV,10,73.0,Série
The Dangers in My Heart Season 2,TV,13,70.0,Série
Mushi-shi: Next Passage Part 1,TV,10,72.0,Série
Violet Evergarden,TV,13,74.0,Série
Demon Slayer: Kimetsu no Yaiba Entertainment District Arc,TV,11,71.0,Série
Bleach: Thousand-Year Blood War - The Conflict,TV,14,75.0,Série
To Be Hero X,ONA,24,78.0,Autre
Great Teacher Onizuka,TV,43,76.0,Série
Link Click,ONA,11,77.0,Autre
Kingdom Season 6,TV,13,82.0,Série
Demon Slayer: Kimetsu no Yaiba - The Movie: Infinity Castle - Part 1: Akaza Returns,Movie,1,81.0,Autre
Fighting Spirit: New Challenger,TV,26,79.0,Série
Howl's Moving Castle,Movie,1,80.0,Autre
Princess Mononoke,Movie,1,83.0,Autre
Monogatari Series: Off & Monster Season,ONA,14,84.0,Autre
Umamusume: Pretty Derby - Beginning of a New Era,Movie,1,85.0,Autre
The Legend of Hei 2,Movie,1,86.0,Autre
Mushi-Shi,TV,26,87.0,Série
Fate/stay night: Heaven's Feel - III. Spring Song,Movie,1,88.0,Autre
Natsume's Book of Friends Season 4,TV,13,89.0,Série
Gurren Lagann,TV,27,92.0,Série
Your Lie in April,TV,22,90.0,Série
Heaven Official's Blessing Season 2,ONA,12,93.0,Autre
Attack on Titan Season 3,TV,12,91.0,Série
Jujutsu Kaisen: The Culling Game Part 1,TV,12,95.0,Série
Chiikawa,TV,0,94.0,Série
Ping Pong the Animation,TV,11,97.0,Série
Odd Taxi,TV,13,96.0,Série
Inconnu,Movie,1,103.0,Autre
Haikyu!! Movie: The Dumpster Battle,Movie,1,100.0,Autre
